IDX	LABEL	PC	UI	CLKTA CS0 CS1 CA WCKT	RDQS	DMI0	DMI1	DATA_e	DATA_o 
000006          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000007          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000008          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000009          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000A          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000B          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000C          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000D          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000E          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
00000F          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000010          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
